nomEtude, complement1, complement2, nomPays, codePays, donnees2017
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Estonia,EST,73.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Eswatini,SWZ,54.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Ethiopia,ETH,63.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Euro area,EMU,79.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Europe & Central Asia,ECS,74.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Europe & Central Asia (excluding high income),ECA,69.2
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Europe & Central Asia (IDA & IBRD),TEC,69.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,European Union,EUU,78.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Faroe Islands,FRO,80.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Fiji,FJI,67.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Finland,FIN,78.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Fragile and conflict affected situations,FCS,61
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,France,FRA,79.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,French Polynesia,PYF,74.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Gabon,GAB,64.9
"Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,""Gambia, The"",GMB,60"
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Georgia,GEO,69
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Germany,DEU,78.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Ghana,GHA,61.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Gibraltar,GIB,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Greece,GRC,78.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Greenland,GRL,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Grenada,GRD,71.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Guam,GUM,77.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Guatemala,GTM,70.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Guinea,GIN,60.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Guinea-Bissau,GNB,56
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Guyana,GUY,64.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Haiti,HTI,61.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Heavily indebted poor countries (HIPC),HPC,60.8
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,High income,HIC,77.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Honduras,HND,71.2
"Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,""Hong Kong SAR, China"",HKG,81.9"
